Area,Competition,Gender,Category,Season,Matches,Tagged
Afghanistan,Premier League,Male,Senior,2015,18,0%
,,,,2016,18,0%
,,,,2017,18,0%
,,,,2018,14,0%
,,,,2019,15,0%
,,,,2020,15,0%
Africa,Africa Cup of Nations Qualification,Male,Senior,2017 Gabon,151,12%
,,,,2019 Cameroon,146,74%
,,,,2021,150,81%
,,,,2023 Cote d'Ivoire,142,89%
,,,,2025 Morocco,151,93%
,Africa U17 Cup of Nations,Male,Youth,2017 Gabon,67,24%
,,,,2019 Tanzania,77,62%
,,,,2021 Morocco Qualificati..,32,9%
,,,,2023 Algeria,23,100%
,Africa U20 Cup of Nations,Male,Youth,2017 Zambia,73,22%
,,,,2019 Niger,80,28%
,,,,2021 Mauritania,26,100%
,,,,2023 Egypt,26,100%
,Africa U20 Cup of Nations Qualification,Male,Youth,2021,37,0%
,,,,2023,2,0%
,Africa U23 Cup of Nations,Male,Youth,2019 Egypt,37,54%
,,,,2023 Morocco,16,100%
,Africa U23 Cup of Nations ..,Male,Youth,2023 Morocco,14,0%
,Africa Women Cup of Nations,Female,Senior,2016 Cameroon,46,0%
,,,,2018 Ghana,16,0%
,,,,2022 Morocco,28,100%
,African Football League,Male,Senior,2023,2,0%
,African Nations Championship,Male,Senior,2016 Rwanda,88,35%
,,,,2018 Morocco,98,41%
,,,,2020 Cameroon,97,38%
,,,,2022 Algeria,32,91%
,African Nations Championship Qualificati..,Male,Senior,2022 Algeria,56,14%
,,,,2024 Kenya/Tanzania/Ug..,44,0%
,CAF Africa Cup of Nations,Male,Senior,2017 Gabon,32,100%
,,,,2019 Egypt,52,100%
,,,,2021 Cameroon,52,100%
,,,,2023 Côte d'Ivoire,52,100%
,CAF Champions League,Male,Senior,2016,114,19%
,,,,2017,140,49%
,,,,2018,146,52%
,,,,2018/2019,98,76%
,,,,2019/2020,99,66%
,,,,2020/2021,91,92%
,,,,2021/2022,107,80%
,,,,2022/2023,121,84%
Africa,CAF Champions League,Male,Senior,2023/2024,72,96%
,,,,2024/2025,42,95%
,CAF Confederation Cup,Male,Senior,2016,126,13%
,,,,2017,165,36%
,,,,2018,167,43%
,,,,2018/2019,126,45%
,,,,2019/2020,125,44%
,,,,2020/2021,120,78%
,,,,2021/2022,91,80%
,,,,2022/2023,128,83%
,,,,2023/2024,60,98%
,,,,2024/2025,40,98%
,CAF Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,100%
,,,,2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,,,,2024/2025,1,100%
,CAF U20 Women's Champi..,Female,Youth,2017/2018,20,0%
,CAF World Cup Qualifiers,Male,Senior,2018 Russia,126,60%
,,,,2022 Qatar,158,97%
,,,,2026 Canada/Mexico,104,98%
,CECAFA - U17 Champions..,Male,Youth,2018,9,44%
,CECAFA Club Cup,Male,Senior,2019,30,0%
,,,,Tanzania 2018,23,0%
